signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.11098605335161207	0.1537533343838187	0.14336485538446905	0.005265953889535509	0.5775126754984531	0.031391996192992794	0.09335987395417862	0.2041473223682413	0.33701715708695906
Rearrangement Signature 2	0.500355566616636	0.5025466935179438	0.5026291141086907	0.18829728381335883	0.8231884057037007	0.29213058154418176	0.42590187528280166	0.5790520699156876	0.7065925387824269
Rearrangement Signature 3	0.05912519236860693	0.10564689056217612	0.09481832313208732	0.0014830125525571458	0.41882725224419565	0.015240037846964436	0.05311089329411035	0.1446076990963252	0.26838049101274075
Rearrangement Signature 4	0.010078385598256814	0.033833719577473095	0.024565067591807967	4.4360194386099525e-5	0.2781377585050705	9.0594614439194e-4	0.010166478928815378	0.04473271018138937	0.12403257537001444
Rearrangement Signature 5	0.10431707675454147	0.15863660854183687	0.14481056130437642	0.0021061609117524146	0.5649437391414028	0.017081448469105753	0.0884309418829352	0.20964214682845222	0.396652975931066
Rearrangement Signature 6	0.010871949767969995	0.04558275341675144	0.02968357393681407	1.1848739344064857e-4	0.26660552334286725	0.0011282860602661472	0.010938159740414264	0.06165261095768624	0.1787496317878025
