signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.09601063630614629	0.09515251417717525	0.09382071711690883	0.02971752309520723	0.23819287161705632	0.045812382244912346	0.07540697575701942	0.11180621165727296	0.15419990817995682
Rearrangement Signature 2	0.44250082122561885	0.43365743969994464	0.4344886851403902	0.29552123806479147	0.6145371561556476	0.34282547095139015	0.39977939119304245	0.4677898950634952	0.5268636468149422
Rearrangement Signature 3	0.0068686056913617385	0.016097124770791022	0.013156327455063253	1.3570293203123444e-5	0.09383129915920162	7.05925009654929e-4	0.006678290358226072	0.02228527290267614	0.04746572904186668
Rearrangement Signature 4	0.0983140098844596	0.0956756479268155	0.09432940185236763	0.02880024710357525	0.2200523723564573	0.04377491966435703	0.07437965181839126	0.11293290440600136	0.16336091622707377
Rearrangement Signature 5	0.2235194531837915	0.24057714048052528	0.2388498671688583	0.11426616015838337	0.40293405294050433	0.15434664638275425	0.2085705872826808	0.2726129945929445	0.33367980395251856
Rearrangement Signature 6	0.10215228516316988	0.11884013294474832	0.1153789995881712	0.021786707801151606	0.24463404631307734	0.05668737112375607	0.09151054491195708	0.14329187263349197	0.19817227120531375
