mutation_type	count
clustered|DEL|1-10kb	0
clustered|DEL|10-100kb	0
clustered|DEL|100kb-1Mb	0
clustered|DEL|1Mb-10Mb	0
clustered|DEL|>10Mb	0
clustered|DUP|1-10kb	0
clustered|DUP|10-100kb	0
clustered|DUP|100kb-1Mb	1
clustered|DUP|1Mb-10Mb	0
clustered|DUP|>10Mb	1
clustered|INV|1-10kb	0
clustered|INV|10-100kb	0
clustered|INV|100kb-1Mb	0
clustered|INV|1Mb-10Mb	0
clustered|INV|>10Mb	0
clustered|TRA|	1
non-clustered|DEL|1-10kb	3
non-clustered|DEL|10-100kb	13
non-clustered|DEL|100kb-1Mb	4
non-clustered|DEL|1Mb-10Mb	2
non-clustered|DEL|>10Mb	0
non-clustered|DUP|1-10kb	2
non-clustered|DUP|10-100kb	14
non-clustered|DUP|100kb-1Mb	8
non-clustered|DUP|1Mb-10Mb	2
non-clustered|DUP|>10Mb	0
non-clustered|INV|1-10kb	2
non-clustered|INV|10-100kb	4
non-clustered|INV|100kb-1Mb	0
non-clustered|INV|1Mb-10Mb	2
non-clustered|INV|>10Mb	1
non-clustered|TRA|	12
