signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.21148881669868602	0.23843184863389588	0.23345085598706805	0.07262870988289306	0.47044244365338117	0.1255146043430342	0.18875099166541268	0.2807883426671663	0.3785896947893723
Rearrangement Signature 2	0.12845264817012841	0.1357267698948631	0.13342768826060317	9.177054692343315e-5	0.3795797381628441	0.02412702599387639	0.09454076049046033	0.17504032086090934	0.25707081067830767
Rearrangement Signature 3	0.0626317762425094	0.07933992934551443	0.07207649780072127	9.525874142290341e-4	0.35852909512524	0.009891351625867855	0.04416135359354262	0.10308941047105485	0.19463690339651382
Rearrangement Signature 4	0.018454922307365344	0.03358598445474699	0.029126323677588037	7.605688539520655e-4	0.1532839779415813	0.0036480074594391746	0.01631774861697698	0.04515416776968417	0.09352737230585788
Rearrangement Signature 5	0.48293099833104697	0.477187752128682	0.47973452559766117	0.2222606644060223	0.7299699730432012	0.30673430296673493	0.41349745887021144	0.5407766395399011	0.651551020120537
Rearrangement Signature 6	0.019775352860447577	0.03572771554229763	0.03066870911880676	3.0952571412334873e-4	0.18997031718434593	0.002003923099363235	0.015994620404132534	0.0489624623583903	0.10186486358636251
